state,region,year,total_all_classes_of_crime_in_state,violent_crime_in_state,property_crime_in_state,murder_and_nonnegligent_manslaughter_in_state,rape_in_state,robbery_in_state,aggravated_assault_in_state,burglary_in_state,larceny_theft_in_state,motor_vehicle_theft_in_state,arson_in_state,other_assaults_in_state,forgery_and_counterfeiting_in_state,fraud_in_state,embezzlement_in_state,stolen_property_buying_receiving_possessing_in_state,vandalism_in_state,weapons_carrying_possessing_etc_in_state,prostitution_and_commercialized_vice_in_state,sex_offenses_except_rape_and_prostitution_in_state,drug_abuse_violations_in_state,gambling_in_state,offenses_against_the_family_and_children_in_state,driving_under_the_influence_in_state,liquor_laws_in_state,drunkenness_in_state,disorderly_conduct_in_state,vagrancy_in_state,all_other_offenses_except_traffic_in_state,suspicion_in_state,curfew_and_loitering_law_violations_in_state
Utah,West,2018,104886,2327,14038,36,306,398,1587,890,12545,541,62,7972,704,1007,35,940,2868,839,374,686,19562,1,1428,7119,3826,2677,2280,63,35815,4,321
Washington,West,2018,171466,8384,25722,150,536,1767,5931,4292,19762,1504,164,24701,677,1130,55,3245,4798,1824,211,550,11283,7,257,27632,1721,78,2460,120,56599,3,9
Wyoming,West,2018,28437,600,2197,12,26,21,541,239,1811,128,19,1902,36,127,6,80,421,52,53,109,4895,0,433,3432,1725,3062,840,166,8198,17,86
Illinois,Midwest,2019,8248,487,565,18,19,75,375,76,461,12,16,1516,17,33,0,93,319,137,62,10,569,0,213,396,73,0,643,21,3070,0,24
Indiana,Midwest,2019,76675,3235,8492,71,90,332,2742,851,6940,634,67,5680,664,1010,57,129,541,1202,17,283,15134,19,532,8524,2434,1771,1883,25,24965,12,66
Iowa,Midwest,2019,87139,4436,10055,35,183,274,3944,1271,8118,581,85,7173,433,558,45,239,1874,715,32,96,8444,4,870,9667,2491,4474,3180,8,32223,0,122
Kansas,Midwest,2019,52378,2212,3741,51,112,190,1859,416,2983,290,52,7043,160,349,46,482,1536,767,79,129,8475,1,216,5672,1751,103,1425,0,18191,0,0
Michigan,Midwest,2019,210905,12521,22003,346,846,1272,10057,2528,18012,1246,217,28821,695,3708,1121,2193,3001,5346,448,593,13475,76,2033,25574,4061,346,5507,79,79118,0,186
Minnesota,Midwest,2019,145820,5676,25211,104,656,1122,3794,1975,21580,1555,101,14981,1066,4486,21,1944,2599,2169,154,805,18714,37,569,19863,6578,28,8473,194,31622,0,630
Missouri,Midwest,2019,156375,7184,18331,286,413,1098,5387,2483,13947,1815,86,14488,729,1411,194,3155,2709,2867,145,574,28526,11,1222,14237,2360,156,5759,980,51050,0,287
Nebraska,Midwest,2019,61726,2224,8233,34,248,361,1581,485,7255,432,61,8434,271,1207,69,684,2180,1072,109,389,10869,3,1255,5676,2798,0,2392,11,13751,0,99
North Dakota,Midwest,2019,32647,756,3189,17,62,63,614,310,2623,235,21,2824,161,495,49,303,500,303,19,93,5005,2,448,4827,2474,230,1733,1,9166,0,69
Ohio,Midwest,2019,205987,8752,29869,244,438,1830,6240,3583,25142,893,251,34495,519,1826,22,2393,3656,4048,381,536,33435,19,1045,12301,4595,5060,9427,11,53227,20,350
South Dakota,Midwest,2019,44252,1138,2656,15,56,57,1010,285,2078,278,15,4801,162,777,24,179,537,279,19,48,7926,1,583,5522,1581,116,2525,628,14688,0,62
Wisconsin,Midwest,2019,224571,7637,23823,173,844,1075,5545,1691,20720,1288,124,15813,906,1996,338,1013,5250,3280,357,1360,26175,9,1916,23934,9199,0,28343,365,71555,0,1302
Connecticut,Northeast,2019,92925,3060,11932,83,223,764,1990,1470,9754,646,62,16304,475,858,134,350,1711,1073,120,330,7295,11,1502,7577,86,11,10560,44,29483,0,9
